x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
2,1,-0.18730823380210054,-0.18730823380210052,2.7755575615628914e-17,2.7755575615628914e-17
2,3,0.143233127828097,0.143233127828097,0.0,0.0
2,2,0.0030236356290078356,0.0030236356290078356,0.0,0.0
5,8,0.014667203086638998,0.014667203086638964,-3.469446951953614e-17,3.469446951953614e-17
2,7,-0.0382808745658457,-0.03828087456584568,2.0816681711721685e-17,2.0816681711721685e-17
5,6,-0.4471295508659011,-0.44712955086590117,-5.551115123125783e-17,5.551115123125783e-17
3,4,0.09854339199927875,0.09854339199927865,-9.71445146547012e-17,9.71445146547012e-17
5,1,-0.09422116415196458,-0.09422116415196473,-1.5265566588595902e-16,1.5265566588595902e-16
4,2,0.1982287992084482,0.1982287992084481,-8.326672684688674e-17,8.326672684688674e-17
1,1,-0.10651722680964584,-0.10651722680964594,-9.71445146547012e-17,9.71445146547012e-17
3,9,-0.005259484647394612,-0.005259484647394626,-1.3877787807814457e-17,1.3877787807814457e-17
0,6,0.05333304353694915,0.05333304353694912,-2.7755575615628914e-17,2.7755575615628914e-17
0,0,-0.04214861399009121,-0.0421486139900912,1.3877787807814457e-17,1.3877787807814457e-17
0,9,0.3481203833666727,0.34812038336667267,-5.551115123125783e-17,5.551115123125783e-17
1,5,0.1878759188271716,0.1878759188271717,8.326672684688674e-17,8.326672684688674e-17
4,1,0.1075992500983286,0.10759925009832862,1.3877787807814457e-17,1.3877787807814457e-17
4,9,-0.27338160265663536,-0.27338160265663536,0.0,0.0
0,5,0.011795211703720304,0.011795211703720165,-1.3877787807814457e-16,1.3877787807814457e-16
3,5,-0.027017974822985482,-0.02701797482298547,1.0408340855860843e-17,1.0408340855860843e-17
1,2,-0.08999382919009041,-0.0899938291900905,-8.326672684688674e-17,8.326672684688674e-17
3,0,-0.132021358386978,-0.13202135838697804,-2.7755575615628914e-17,2.7755575615628914e-17
0,8,0.047637714814731266,0.047637714814731294,2.7755575615628914e-17,2.7755575615628914e-17
3,8,-0.05262599518476472,-0.0526259951847647,2.0816681711721685e-17,2.0816681711721685e-17
3,6,-0.021114809138223334,-0.021114809138223327,6.938893903907228e-18,6.938893903907228e-18
0,2,-0.09603269487983046,-0.09603269487983049,-2.7755575615628914e-17,2.7755575615628914e-17
1,4,0.2211902436765531,0.22119024367655277,-3.3306690738754696e-16,3.3306690738754696e-16
5,0,-0.03099337280718783,-0.030993372807187947,-1.1796119636642288e-16,1.1796119636642288e-16
5,7,-0.27203016927874313,-0.27203016927874313,0.0,0.0
4,5,-0.05146090621383673,-0.05146090621383674,-1.3877787807814457e-17,1.3877787807814457e-17
2,4,0.301139660891828,0.3011396608918279,-5.551115123125783e-17,5.551115123125783e-17
2,5,0.054930259316962174,0.0549302593169624,2.2898349882893854e-16,2.2898349882893854e-16
1,0,0.0057941299608094965,0.005794129960809465,-3.122502256758253e-17,3.122502256758253e-17
1,3,0.036651810281204164,0.0366518102812042,3.469446951953614e-17,3.469446951953614e-17
3,2,0.12968147673437141,0.12968147673437153,1.1102230246251565e-16,1.1102230246251565e-16
2,6,0.023172815304059135,0.02317281530405904,-9.367506770274758e-17,9.367506770274758e-17
1,7,0.039411135825784274,0.03941113582578427,-6.938893903907228e-18,6.938893903907228e-18
4,7,0.005991148560958864,0.005991148560958864,0.0,0.0
1,8,-0.05713226110068057,-0.05713226110068059,-2.0816681711721685e-17,2.0816681711721685e-17
2,0,-0.025498517183196467,-0.025498517183196484,-1.734723475976807e-17,1.734723475976807e-17
4,3,0.143155891334242,0.14315589133424195,-5.551115123125783e-17,5.551115123125783e-17
5,2,-0.2932822978307621,-0.2932822978307619,2.220446049250313e-16,2.220446049250313e-16
5,3,-0.5086052367017956,-0.5086052367017954,2.220446049250313e-16,2.220446049250313e-16
1,9,0.3100924513552129,0.310092451355213,1.1102230246251565e-16,1.1102230246251565e-16
5,4,-0.559004059389708,-0.5590040593897081,-1.1102230246251565e-16,1.1102230246251565e-16
3,1,0.03305056589174584,0.033050565891745806,-3.469446951953614e-17,3.469446951953614e-17
4,6,-0.03492785864833235,-0.03492785864833234,1.3877787807814457e-17,1.3877787807814457e-17
3,3,0.23490244597439217,0.23490244597439236,1.942890293094024e-16,1.942890293094024e-16
0,7,0.1379224688138338,0.13792246881383388,8.326672684688674e-17,8.326672684688674e-17
5,5,-0.45655134980469947,-0.45655134980469936,1.1102230246251565e-16,1.1102230246251565e-16
4,4,0.018172709879138813,0.018172709879138785,-2.7755575615628914e-17,2.7755575615628914e-17
2,9,0.20206961822115585,0.20206961822115596,1.1102230246251565e-16,1.1102230246251565e-16
2,8,-0.08455165527831136,-0.08455165527831132,4.163336342344337e-17,4.163336342344337e-17
0,3,-0.04008561139585106,-0.04008561139585106,0.0,0.0
1,6,0.15810395275599315,0.15810395275599298,-1.6653345369377348e-16,1.6653345369377348e-16
0,1,-0.07518682878155153,-0.07518682878155153,0.0,0.0
4,0,0.0008976036277082433,0.0008976036277082503,6.938893903907228e-18,6.938893903907228e-18
3,7,-0.026520171920939212,-0.02652017192093921,3.469446951953614e-18,3.469446951953614e-18
0,4,-0.08519484807224953,-0.08519484807224958,-5.551115123125783e-17,5.551115123125783e-17
4,8,0.09279679690437606,0.09279679690437605,-1.3877787807814457e-17,1.3877787807814457e-17
5,9,-0.3253980303745371,-0.325398030374537,5.551115123125783e-17,5.551115123125783e-17
