n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,0.05,0.0027,-0.0009624512700483648,0.0009624512700483648,0.028809074204391417,0.02880907420439275,0.00375,-0.024271590678564502,-0.10975125635340274,0.9704194543754645,0.0225
1,0.05,0.008100000000000001,-0.0015683131560222695,0.0015683131560222695,0.10347888541746003,0.07466981121306862,0.01125,-0.024271590678564502,-0.10851190715995152,0.9704194543754645,0.09
2,0.05,0.0054,-0.0006313483815698821,0.0006313483815698821,0.148845389742606,0.04536650432514597,0.0075,-0.024271590678564502,-0.10768567436431738,0.9704194543754645,0.135
3,0.05,0.0063,0.000845324440584733,-0.000845324440584733,0.20152812521665334,0.05268273547404734,0.00875,-0.024271590678564502,-0.1067217361027442,0.9704194543754647,0.1875
4,0.05,0.0045,0.0011220382856909664,-0.0011220382856909664,0.23525091429427786,0.03372278907762452,0.00625,-0.024271590678564502,-0.10603320877304907,0.9704194543754645,0.225
5,0.05,0.0144,0.0001930632281438356,-0.0001930632281438356,0.3374765500514114,0.10222563575713356,0.02,-0.024271590678564502,-0.10382992131802468,0.9704194543754647,0.345
6,0.05,0.0036,-0.0007756067017805138,0.0007756067017805138,0.3610276416870359,0.023551091635624466,0.005,-0.024271590678564502,-0.10327909945426858,0.9704194543754645,0.375
7,0.05,0.008100000000000001,-0.0008427330229179743,0.0008427330229179743,0.4120948722400104,0.05106723055297452,0.01125,-0.024271590678564502,-0.10203975026081737,0.9704194543754647,0.4425
8,0.05,0.0054,0.00035784286038019085,-0.00035784286038019085,0.44436094452637676,0.032266072286366354,0.0075,-0.024271590678564502,-0.1012135174651832,0.9704194543754645,0.4875
9,0.05,0.009000000000000001,-0.0017157344138907906,0.0017157344138907906,0.5008160020681596,0.056455057541782816,0.0125,-0.024271590678564502,-0.09983646280579296,0.9704194543754645,0.5625
10,0.05,0.0045000000000000005,-0.0014992550414394696,0.0014992550414394696,0.5261457477469009,0.025329745678741356,0.00625,-0.024271590678564502,-0.09914793547609783,0.9704194543754645,0.6
