n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,0.05,0.0036,0.0012366164688125097,-0.0012366164688125097,0.03670193338688804,0.03670193338688915,0.005,-0.024271590678564502,-0.10961355088746372,0.9704194543754645,0.03
1,0.05,0.0045,0.0002524958263949278,-0.0002524958263949278,0.07948167107203703,0.04277973768514899,0.00625,-0.024271590678564502,-0.1089250235577686,0.9704194543754645,0.0675
2,0.05,0.0045,-0.00040948425061086154,0.00040948425061086154,0.12218726166551905,0.042705590593482015,0.00625,-0.024271590678564502,-0.10823649622807348,0.9704194543754645,0.105
3,0.05,0.0027,-0.0015096826700573185,0.0015096826700573185,0.14368018797491733,0.02149292630939828,0.00375,-0.024271590678564502,-0.1078233798302564,0.9704194543754645,0.1275
4,0.05,0.0072,0.001508520677606299,-0.001508520677606299,0.2009372399258085,0.057257051950891175,0.01,-0.024271590678564502,-0.1067217361027442,0.9704194543754647,0.1875
5,0.05,0.0072,0.0034969606996667246,-0.0034969606996667246,0.25491623390425133,0.05397899397844283,0.01,-0.024271590678564502,-0.105620092375232,0.9704194543754647,0.2475
6,0.05,0.0036,0.0008321564129253992,-0.0008321564129253992,0.28123490515969357,0.02631867125544224,0.005,-0.024271590678564502,-0.1050692705114759,0.9704194543754647,0.2775
7,0.05,0.009000000000000001,-0.0030657976820226197,0.0030657976820226197,0.3441173358054356,0.062882430645742,0.0125,-0.024271590678564502,-0.10369221585208566,0.9704194543754645,0.3525
8,0.05,0.0045,0.0012597040974453803,-0.0012597040974453803,0.3746850385115284,0.030567702706092825,0.00625,-0.024271590678564502,-0.10300368852239054,0.9704194543754647,0.39
9,0.05,0.0108,7.702529675385199e-05,-7.702529675385199e-05,0.4439350622975659,0.0692500237860375,0.015,-0.024271590678564502,-0.10135122293112224,0.9704194543754645,0.48
10,0.05,0.011699999999999999,-0.001079223706627606,0.001079223706627606,0.5160097873775584,0.07207472507999252,0.01625,-0.024271590678564502,-0.09956105187391492,0.9704194543754645,0.5775
11,0.05,0.0036,-0.00044420857257784584,0.00044420857257784584,0.5370909139373268,0.02108112655976835,0.005,-0.024271590678564502,-0.09901023001015882,0.9704194543754645,0.6075
12,0.05,0.0063,-0.0006047398897437732,0.0006047398897437732,0.5728949669577982,0.035804053020471405,0.00875,-0.024271590678564502,-0.09804629174858565,0.9704194543754645,0.66
13,0.05,0.0063,0.0003431598300520636,-0.0003431598300520636,0.6084566551474109,0.035561688189612695,0.00875,-0.024271590678564502,-0.09708235348701247,0.9704194543754645,0.7125
14,0.05,0.0036,0.000999438323350207,-0.000999438323350207,0.6296142005524161,0.02115754540500525,0.005,-0.024271590678564502,-0.09653153162325637,0.9704194543754645,0.7425
15,0.05,0.0036,0.0010335393148607195,-0.0010335393148607195,0.6496860277803848,0.02007182722796863,0.005,-0.024271590678564502,-0.09598070975950027,0.9704194543754645,0.7725
16,0.05,0.0027,0.0013234440824807913,-0.0013234440824807913,0.6645955396990157,0.014909511918630991,0.00375,-0.024271590678564502,-0.0955675933616832,0.9704194543754647,0.795
17,0.05,0.0045,0.0014425143751103594,-0.0014425143751103594,0.6889668534646757,0.02437131376565993,0.00625,-0.024271590678564502,-0.09487906603198806,0.9704194543754645,0.8325
18,0.05,0.0036,0.0010623943292092765,-0.0010623943292092765,0.7084753804401995,0.019508526975523854,0.005,-0.024271590678564502,-0.09432824416823196,0.9704194543754647,0.8625
19,0.05,0.0072,0.0004459543871077948,-0.0004459543871077948,0.7466419528351583,0.0381665723949588,0.01,-0.024271590678564502,-0.09322660044071976,0.9704194543754647,0.9225
20,0.05,0.0045000000000000005,0.0009588548431276669,-0.0009588548431276669,0.7699745573887542,0.02333260455359587,0.00625,-0.024271590678564502,-0.09253807311102465,0.9704194543754647,0.96
21,0.05,0.008100000000000001,0.0008806557653182682,-0.0008806557653182682,0.8120443504567734,0.04206979306801917,0.01125,-0.024271590678564502,-0.09129872391757342,0.9704194543754645,1.0275
22,0.05,0.0063,0.0021457316368727096,-0.0021457316368727096,0.8437371403252889,0.031692789868515536,0.00875,-0.024271590678564502,-0.09033478565600024,0.9704194543754645,1.08
23,0.05,0.0027,0.001347073784939675,-0.001347073784939675,0.8570614954273538,0.013324355102064867,0.00375,-0.024271590678564502,-0.08992166925818318,0.9704194543754647,1.1025
24,0.05,0.0054,-0.001453886271470554,0.001453886271470554,0.8846816949763477,0.027620199548993973,0.0075,-0.024271590678564502,-0.08909543646254903,0.9704194543754647,1.1475
25,0.05,0.0027,0.0008497502068218754,-0.0008497502068218754,0.8978910839832572,0.013209389006909489,0.00375,-0.024271590678564502,-0.08868232006473196,0.9704194543754645,1.17
26,0.05,0.0036,0.00022001767523316642,-0.00022001767523316642,0.9150205887830432,0.017129504799785922,0.005,-0.024271590678564502,-0.08813149820097586,0.9704194543754647,1.2
27,0.05,0.0054,0.0003297721423094993,-0.0003297721423094993,0.9410965219126186,0.026075933129575457,0.0075,-0.024271590678564502,-0.0873052654053417,0.9704194543754647,1.245
28,0.05,0.0036,-0.001561778394691917,0.001561778394691917,0.9583239743722682,0.017227452459649628,0.005,-0.024271590678564502,-0.08675444354158561,0.9704194543754647,1.275
29,0.05,0.0027,-0.0006620501718764186,0.0006620501718764186,0.9710479517338497,0.012723977361581484,0.00375,-0.024271590678564502,-0.08634132714376852,0.9704194543754647,1.2975
30,0.05,0.0063,-0.0021609893442491334,0.0021609893442491334,1.0003652846634068,0.02931733292955707,0.00875,-0.024271590678564502,-0.08537738888219536,0.9704194543754647,1.35
31,0.05,0.0054,0.0007180399068921762,-0.0007180399068921762,1.024187381513375,0.023822096849968277,0.0075,-0.024271590678564502,-0.0845511560865612,0.9704194543754647,1.395
32,0.05,0.006299999999999999,-0.0006088088940995672,0.0006088088940995672,1.0522531467404794,0.028065765227104356,0.00875,-0.024271590678564502,-0.08358721782498804,0.9704194543754645,1.4475
33,0.05,0.0036,0.0010456546349158435,-0.0010456546349158435,1.067570380694066,0.015317233953586529,0.005,-0.024271590678564502,-0.08303639596123194,0.9704194543754645,1.4775
34,0.05,0.0045000000000000005,-7.763837369982124e-05,7.763837369982124e-05,1.0878867978243394,0.020316417130273434,0.00625,-0.024271590678564502,-0.08234786863153683,0.9704194543754645,1.515
35,0.05,0.0027,-0.0007616047701442758,0.0007616047701442758,1.0998100419887484,0.011923244164409041,0.00375,-0.024271590678564502,-0.08193475223371974,0.9704194543754647,1.5375
36,0.05,0.0072,0.0012477225761279454,-0.0012477225761279454,1.1309820390112764,0.03117199702252793,0.01,-0.024271590678564502,-0.08083310850620755,0.9704194543754647,1.5975
37,0.05,0.0027,-0.0006317451715812761,0.0006317451715812761,1.1429921310496765,0.012010092038400089,0.00375,-0.024271590678564502,-0.08041999210839046,0.9704194543754647,1.62
38,0.05,0.0081,0.0030562975708089586,-0.0030562975708089586,1.1774551416164525,0.03446301056677603,0.01125,-0.024271590678564502,-0.07918064291493924,0.9704194543754645,1.6875
39,0.05,0.0036,-0.0015277909515238753,0.0015277909515238753,1.1927314995660308,0.015276357949578268,0.005,-0.024271590678564502,-0.07862982105118314,0.9704194543754645,1.7175
40,0.05,0.0027,-0.00042411568759195877,0.00042411568759195877,1.2039185800784615,0.01118708051243078,0.00375,-0.024271590678564502,-0.07821670465336607,0.9704194543754647,1.74
41,0.05,0.0072,0.0009394031815971849,-0.0009394031815971849,1.233157057993451,0.029238477914989458,0.01,-0.024271590678564502,-0.07711506092585386,0.9704194543754647,1.8
42,0.05,0.0045000000000000005,0.00021456911907535484,-0.00021456911907535484,1.2512108227083931,0.018053764714942133,0.00625,-0.024271590678564502,-0.07642653359615875,0.9704194543754645,1.8375
