x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
5,3,-0.5086052367017956,-0.5086052367017952,3.3306690738754696e-16,3.3306690738754696e-16
4,1,0.1075992500983286,0.10759925009832857,-2.7755575615628914e-17,2.7755575615628914e-17
1,1,-0.10651722680964584,-0.10651722680964582,2.7755575615628914e-17,2.7755575615628914e-17
5,0,-0.03099337280718783,-0.03099337280718787,-4.163336342344337e-17,4.163336342344337e-17
4,9,-0.27338160265663536,-0.27338160265663525,1.1102230246251565e-16,1.1102230246251565e-16
3,6,-0.021114809138223334,-0.02111480913822333,3.469446951953614e-18,3.469446951953614e-18
4,8,0.09279679690437606,0.09279679690437606,0.0,0.0
1,9,0.3100924513552129,0.310092451355213,1.1102230246251565e-16,1.1102230246251565e-16
0,6,0.05333304353694915,0.05333304353694916,1.3877787807814457e-17,1.3877787807814457e-17
5,1,-0.09422116415196458,-0.09422116415196465,-6.938893903907228e-17,6.938893903907228e-17
0,4,-0.08519484807224953,-0.08519484807224967,-1.3877787807814457e-16,1.3877787807814457e-16
5,2,-0.2932822978307621,-0.293282297830762,1.1102230246251565e-16,1.1102230246251565e-16
0,5,0.011795211703720304,0.011795211703720276,-2.7755575615628914e-17,2.7755575615628914e-17
0,8,0.047637714814731266,0.047637714814731266,0.0,0.0
3,4,0.09854339199927875,0.09854339199927883,8.326672684688674e-17,8.326672684688674e-17
4,2,0.1982287992084482,0.1982287992084482,0.0,0.0
1,7,0.039411135825784274,0.0394111358257843,2.7755575615628914e-17,2.7755575615628914e-17
2,8,-0.08455165527831136,-0.08455165527831143,-6.938893903907228e-17,6.938893903907228e-17
0,1,-0.07518682878155153,-0.07518682878155153,0.0,0.0
4,7,0.005991148560958864,0.0059911485609588765,1.214306433183765e-17,1.214306433183765e-17
3,0,-0.132021358386978,-0.13202135838697782,1.942890293094024e-16,1.942890293094024e-16
0,3,-0.04008561139585106,-0.040085611395850956,1.0408340855860843e-16,1.0408340855860843e-16
3,3,0.23490244597439217,0.23490244597439203,-1.3877787807814457e-16,1.3877787807814457e-16
3,1,0.03305056589174584,0.03305056589174599,1.457167719820518e-16,1.457167719820518e-16
3,8,-0.05262599518476472,-0.05262599518476463,9.020562075079397e-17,9.020562075079397e-17
5,7,-0.27203016927874313,-0.27203016927874313,0.0,0.0
2,1,-0.18730823380210054,-0.18730823380210032,2.220446049250313e-16,2.220446049250313e-16
3,7,-0.026520171920939212,-0.026520171920939202,1.0408340855860843e-17,1.0408340855860843e-17
0,2,-0.09603269487983046,-0.09603269487983046,0.0,0.0
4,4,0.018172709879138813,0.018172709879138816,3.469446951953614e-18,3.469446951953614e-18
1,2,-0.08999382919009041,-0.08999382919009039,2.7755575615628914e-17,2.7755575615628914e-17
1,3,0.036651810281204164,0.03665181028120416,-6.938893903907228e-18,6.938893903907228e-18
3,2,0.12968147673437141,0.12968147673437147,5.551115123125783e-17,5.551115123125783e-17
0,0,-0.04214861399009121,-0.04214861399009123,-2.0816681711721685e-17,2.0816681711721685e-17
1,6,0.15810395275599315,0.1581039527559932,5.551115123125783e-17,5.551115123125783e-17
2,6,0.023172815304059135,0.023172815304059152,1.734723475976807e-17,1.734723475976807e-17
1,4,0.2211902436765531,0.22119024367655318,8.326672684688674e-17,8.326672684688674e-17
5,6,-0.4471295508659011,-0.44712955086590095,1.6653345369377348e-16,1.6653345369377348e-16
2,7,-0.0382808745658457,-0.03828087456584572,-1.3877787807814457e-17,1.3877787807814457e-17
2,9,0.20206961822115585,0.20206961822115563,-2.220446049250313e-16,2.220446049250313e-16
0,9,0.3481203833666727,0.3481203833666726,-1.1102230246251565e-16,1.1102230246251565e-16
5,9,-0.3253980303745371,-0.32539803037453735,-2.7755575615628914e-16,2.7755575615628914e-16
2,0,-0.025498517183196467,-0.025498517183196512,-4.5102810375396984e-17,4.5102810375396984e-17
4,0,0.0008976036277082433,0.0008976036277082433,0.0,0.0
2,4,0.301139660891828,0.301139660891828,0.0,0.0
5,4,-0.559004059389708,-0.559004059389708,0.0,0.0
3,9,-0.005259484647394612,-0.005259484647394563,4.85722573273506e-17,4.85722573273506e-17
0,7,0.1379224688138338,0.13792246881383383,2.7755575615628914e-17,2.7755575615628914e-17
2,2,0.0030236356290078356,0.0030236356290078426,6.938893903907228e-18,6.938893903907228e-18
1,5,0.1878759188271716,0.18787591882717158,-2.7755575615628914e-17,2.7755575615628914e-17
3,5,-0.027017974822985482,-0.027017974822985506,-2.42861286636753e-17,2.42861286636753e-17
5,8,0.014667203086638998,0.014667203086638974,-2.42861286636753e-17,2.42861286636753e-17
2,5,0.054930259316962174,0.054930259316962174,0.0,0.0
4,3,0.143155891334242,0.14315589133424197,-2.7755575615628914e-17,2.7755575615628914e-17
1,8,-0.05713226110068057,-0.05713226110068058,-6.938893903907228e-18,6.938893903907228e-18
2,3,0.143233127828097,0.143233127828097,0.0,0.0
5,5,-0.45655134980469947,-0.45655134980469936,1.1102230246251565e-16,1.1102230246251565e-16
4,5,-0.05146090621383673,-0.05146090621383672,6.938893903907228e-18,6.938893903907228e-18
1,0,0.0057941299608094965,0.0057941299608094965,0.0,0.0
4,6,-0.03492785864833235,-0.034927858648332345,6.938893903907228e-18,6.938893903907228e-18
